,reviews,Clean_Review,Sentiment,Analysis
0," A simple story with an unfortunate outcome that really could happen to anyone. My partner and I recently started working after studying purchased two tickets to travel from London City Airport to Frankfurt. When we purchased the tickets, I mistakenly entered my name twice (e.g. Mr John Smith and Ms John Smith). Little did we know that our 1 simple mistake would cost us over 300 pounds. Upon arriving at the airport we were told there was no way to change the name (apparently they can only change 3 letters where there has been a typo?) and I had no other option to purchase the last remaining ticket if I wanted to board the flight - the price: almost seven times (!) higher than my original ticket. Zero empathy was shown. Zero alternative was offered. Trusting BA's staff and under the pretence that there was apparently no other way we could board the flight we bought this ticket. Immediately after I purchased the ticket I contacted BA's 'Commercial Change Booking Team' and informed them of our situation. The service representative apologised and told me they could have changed the name at the cost of a small fee. He offered to cancel my original ticket and issue me a partial refund then, advising me that I had a claim to the difference and I should contact Customer Support to do so. I told this person several times I wanted to claim the cost of the new ticket and even asked him explicitly if by accepting this offer, I would be denied from claiming the cost of the new ticket. He said no, I could claim the difference. Fair enough - we accepted this offer and lodged a ticket with Customer Support for the difference. Two days later, British Airways Customer Response informed us that we were unable to lodge a claim because we had 'voluntarily accepted the cancellation before the flight'. They've continued to send generic emails until this week, when they just stopped responding. So in short, British Airways misled and deceived my partner into accepting a lowball offer to waive our right to claim a refund. It keeps me up at night thinking how they can do this and get away with it so easily.","simple story unfortunate outcome really could happen anyone. partner recently start work study purchase two ticket travel london city airport frankfurt. purchase tickets, mistakenly enter name twice (e.g. mr john smith ms john smith). little know 1 simple mistake would cost u 300 pounds. upon arrive airport told way change name (apparently change 3 letter typo?) option purchase last remain ticket want board flight price: almost seven time (!) high original ticket. zero empathy shown. zero alternative offered. trusting ba's staff pretence apparently way could board flight bought ticket. immediately purchase ticket contact ba's 'commercial change booking team' inform situation. service representative apologise told could change name cost small fee. offer cancel original ticket issue partial refund then, advise claim difference contact customer support so. told person several time want claim cost new ticket even ask explicitly accept offer, would deny claim cost new ticket. say no, could claim difference. fair enough accepted offer lodge ticket customer support difference. two day later, british airways customer response inform u unable lodge claim 'voluntarily accepted cancellation flight'. they've continued send generic email week, stop responding. short, british airways mislead deceive partner accept lowball offer waive right claim refund. keep night think get away easily.",0.8908,Positive
1,"  Flight was delayed due to the inbound flight arriving late. There was no announcement to inform of the delay nor were the sceens updated. When ready to board we were requested to take our seats quickly to help reduce the delay, which people did. The pilot then announced he had received the documents for the wrong flight from ground staff, so we had to wait while they returned to get the right paperwork. After this was resolved, the pilot announced there would be a delay as there was only two push back tractors and we had to wait again. So after rushing to sit quickly, we sat the the aircraft at the gate for nearly one hour, which is longer than the flight takes ! Of course AMS is not BAs home base and it uses contracted staff here, but it should require a better level of service, It was embarrassing hearing the pilot apologise at every step of the way. It’ll be Eurostar for me next time.","flight delayed due inbound flight arrive late. announcement inform delay sceens updated. ready board request take seat quickly help reduce delay, people did. pilot announce receive document wrong flight ground staff, wait return get right paperwork. resolved, pilot announce would delay two push back tractor wait again. rush sit quickly, sat aircraft gate nearly one hour, longer flight take course ams bas home base us contract staff here, require well level service, embarrass hearing pilot apologise every step way. it’ll eurostar next time.",-0.3612,Negative
2,"  Fast and friendly check in (total contrast to Gatwick). The contract lounge is comfortable and spacious with a bar and pleasant staff but you have to pay for alcohol after the one free glass of wine. Food best avoided. On board, great crew and dinner was actually good quality and substantial apart from the ""chocolate and orange pot"" that seems to appear on every flight - have they bought up the global stock? The crew were always ready to top up drinks although white wine and beers were lukewarm. The crew explained that the carts are supposed to be chilled - from experience they rarely are. Is dry ice so expensive that BA can't afford it?","fast friendly check (total contrast gatwick). contract lounge comfortable spacious bar pleasant staff pay alcohol one free glass wine. food best avoided. board, great crew dinner actually good quality substantial apart ""chocolate orange pot"" seem appear every flight bought global stock? crew always ready top drink although white wine beer lukewarm. crew explain cart suppose chill experience rarely are. dry ice expensive ba can't afford it?",0.9798,Positive
3,"  I don't understand why British Airways is classified as a 4 star airline? The service is really mediocre. The food is untasty and insufficient for a long haul trip. Some members of the cabin crew are friendly but they are not attentive enough and create a very basic experience. This really is all about getting from point A to B without what it used to be an enjoyable trip making experience. The inflight entertainment is fairly good, but you do need to bring your own water not to get dehydrated, some snacks and ideally food and perhaps smile to yourself as otherwise you are faced with just a cold, personality less experience. ","understand british airways classify 4 star airline? service really mediocre. food untasty insufficient long haul trip. member cabin crew friendly attentive enough create basic experience. really get point b without use enjoyable trip make experience. inflight entertainment fairly good, need bring water get dehydrated, snack ideally food perhaps smile otherwise face cold, personality less experience.",0.9168,Positive
4,"  I'm sure that BA have gradually made their economy experience (BA Euroflyer out of Gatwick) so miserable that passengers are tempted to upgrade to the lacklustre and overpriced business class. Long wait at the biz checkin ( due to status ) and dealt with by a bored agent - OK third party, but still representing BA - who hardly spoke and avoided eye contact and was more focussed on her fingernails. Lounge was crowded and grubby but at least the staff there are pleasant and helpful On board the seats are cramped and uncomfortable and it took over two hours before crew appeared with food sales and the ""free water"" which on Gatwick services consists of a half full plastic cup rather than the luxury of a small bottle.. A fellow passenger mentioned the delay and the fact that they had no sandwiches for sale which prompted the flight attendant to say that the service was much better on Easyjet who do two service runs etc.","i'm sure ba gradually make economy experience (ba euroflyer gatwick) miserable passenger tempt upgrade lacklustre overprice business class. long wait biz checkin due status dealt bore agent ok third party, still represent ba hardly spoke avoid eye contact focus fingernails. lounge crowd grubby least staff pleasant helpful board seat cramped uncomfortable take two hour crew appear food sale ""free water"" gatwick service consists half full plastic cup rather luxury small bottle.. fellow passenger mention delay fact sandwich sale prompt flight attendant say service much well easyjet two service run etc.",0.7703,Positive
5,"  Customer Service does not exist. One world emerald, frequent long haul flyer (including BA) - never seen such poor customer service or “computer says no”. Official BA.com site said all morning and afternoon that flight from Gatwick, delayed 2 hours. Delayed leaving for airport -only for BA to change back to original time. Called BA customer service 1.5 hours prior from highway saying situation - told not to worry, would note and flight rebooked if issue but go to airport. Got to airport 40 mins prior told could not board and that staff did not work for BA so could not help. Back on phone, 3 hours in total to be told could be rebooked, then couldn’t be, round and round. Ultimately told to file complaint. Then found out flight left 2 hours delayed. Paid for extra hotels flights with more competent airlines and now told 38 days wait for complaints to be responded to - heavens help economy and non-status flyers if that’s what the front end of the plane gets!","customer service exist. one world emerald, frequent long haul flyer (including ba) never see poor customer service “computer say no”. official ba.com site say morning afternoon flight gatwick, delayed 2 hours. delayed leave airport -only ba change back original time. called ba customer service 1.5 hour prior highway say situation told worry, would note flight rebooked issue go airport. got airport 40 min prior told could board staff work ba could help. back phone, 3 hour total told could rebooked, couldn’t be, round round. ultimately told file complaint. found flight left 2 hour delayed. paid extra hotel flight competent airline told 38 day wait complaint respond heaven help economy non-status flyer that’s front end plane gets!",0.6054,Positive
6," Another really great pair of flights, on time, no problems at all, champagne was ok and my meal choices were great, the new club suite is a good improvement over the previous seat, in flight entertainment could have been better, can’t wait to fly with BA again and enjoy another great experience.","another really great pair flights, time, problem all, champagne ok meal choice great, new club suite good improvement previous seat, flight entertainment could better, can’t wait fly ba enjoy another great experience.",0.9819,Positive
7,"  Our A380 developed a fault taxiing to the runway - we returned to the gate only to then have the flight cancelled about 3 hours later due to a technical fault. All the while, BA staff were virtually non-existent, it was finally the captain who announced the flight was cancelled. BA provided an alternative the next day involving a connection but it was very much take this or else you were on your own. No arrangements or help made with overnight accommodation or transport,  Finally managed to get the legal minimum £520 compensation out of BA for the 26 hour delay they caused to my journey, and expenses were reimbursed too, but even this took four weeks. The fact that as a Business Class customer BA pays the minimum they can get away with says it all - they couldn't care less about customers, have no interest in loyalty and aren't bothered about your business. Given its our flights that pay BA's way, I'd suggest to anyone they take their hard earned cash to another airline who might at least care less about their customers. Not recommended. ","a380 developed fault taxi runway return gate flight cancel 3 hour later due technical fault. while, ba staff virtually non-existent, finally captain announce flight cancelled. ba provide alternative next day involve connection much take else own. arrangement help make overnight accommodation transport, finally manage get legal minimum £520 compensation ba 26 hour delay cause journey, expense reimburse too, even take four weeks. fact business class customer ba pay minimum get away say care less customers, interest loyalty bother business. given flight pay ba's way, i'd suggest anyone take hard earn cash another airline might least care less customers. recommended.",-0.4675,Negative
8, Horrible airline. Does not care about their customers. Used to be decent but has now since really fell off. A flight time of 5 hours and 30 mins but no meal while the flight attendants were having their eggs and sausage in the back? Didn't even offer juices. I would stick with another airline.,horrible airline. care customers. used decent since really fell off. flight time 5 hour 30 min meal flight attendant egg sausage back? even offer juices. would stick another airline.,-0.0772,Negative
9,"  My family and I have flown mostly on British Airways for the last 30 years. I am a priority passenger and fly often enough to recognise cabin crew and know some by name. They used to be a really good airline to fly with. Things have really deteriorated with their face to face customer care since the pandemic. The aircraft look worn. For example, on my flight back my audiovisual equipment did not work and had to be reset twice, finally working in the last hour before we landed. The second time around, I think the reset was done for the whole aircraft. The touch screen function on my screen did not work. The USB charger ports on my seat did not work. The staff were pleasant enough, but their service oozed mediocrity.  There did not seem to be much pride in what they were doing. The food has been the worst part on our BA flights since the pandemic. They gave us a menu, asked what we’d like, did a check and then told us that it was not available as they had run out and would we like to choose something else. They then told us that we’d get first choice at the second service which they couldn’t deliver on. Finally after choosing and getting whatever it is that we did, the food was tasteless. We take part in post flight surveys regularly and have stated all of this, to no avail. As a family of 3, we fly British Airways medium to long haul regularly, possibly 4-6 times a year each. For us, the good things about flying BA are that we are priority customers, usually have a direct flight to our destinations and get good service on the ground, when checking in and in the lounges when we use them.","family flown mostly british airways last 30 years. priority passenger fly often enough recognise cabin crew know name. use really good airline fly with. things really deteriorate face face customer care since pandemic. aircraft look worn. example, flight back audiovisual equipment work reset twice, finally work last hour landed. second time around, think reset do whole aircraft. touch screen function screen work. usb charger port seat work. staff pleasant enough, service ooze mediocrity. seem much pride doing. food bad part ba flight since pandemic. give u menu, ask we’d like, check told u available run would like choose something else. told u we’d get first choice second service couldn’t deliver on. finally choose get whatever did, food tasteless. take part post flight survey regularly state this, avail. family 3, fly british airways medium long haul regularly, possibly 4-6 time year each. us, good thing fly ba priority customers, usually direct flight destination get good service ground, check lounge use them.",0.9422,Positive
